Field Name,Type,Length,Precision,Scale,Nullable,Required,Editable,Alias,Domain
OBJECTID,OID,4,,,No,Yes,No,OBJECTID,
Shape,Geometry,,,,Yes,Yes,Yes,Shape,
campus_id,String,128,,,Yes,No,Yes,Campus ID,
campus_name,String,128,,,Yes,No,Yes,Campus/Project Name,
company_clean,String,128,,,Yes,No,Yes,Company (Clean),
record_level,String,16,,,Yes,No,Yes,Record Level,dm_record_level
address,String,255,,,Yes,No,Yes,Address,
postal_code,String,16,,,Yes,No,Yes,Zip/Postal,
city,String,128,,,Yes,No,Yes,City,
market,String,128,,,Yes,No,Yes,Market,
state,String,64,,,Yes,No,Yes,State,
state_abbr,String,8,,,Yes,No,Yes,State Abbr,
county,String,128,,,Yes,No,Yes,County,
country,String,64,,,Yes,No,Yes,Country,
region,String,16,,,Yes,No,Yes,Region,
latitude,Double,8,,,Yes,No,Yes,Latitude,
longitude,Double,8,,,Yes,No,Yes,Longitude,
planned_power_mw,Double,8,,,Yes,No,Yes,Planned Power (MW),
uc_power_mw,Double,8,,,Yes,No,Yes,Under Construction Power (MW),
commissioned_power_mw,Double,8,,,Yes,No,Yes,Commissioned Power (MW),
full_capacity_mw,Double,8,,,Yes,No,Yes,Full Capacity (MW),
planned_plus_uc_mw,Double,8,,,Yes,No,Yes,Planned + UC (MW),
mw_2023,Double,8,,,Yes,No,Yes,2023,
mw_2024,Double,8,,,Yes,No,Yes,2024,
mw_2025,Double,8,,,Yes,No,Yes,2025,
mw_2026,Double,8,,,Yes,No,Yes,2026,
mw_2027,Double,8,,,Yes,No,Yes,2027,
mw_2028,Double,8,,,Yes,No,Yes,2028,
mw_2029,Double,8,,,Yes,No,Yes,2029,
mw_2030,Double,8,,,Yes,No,Yes,2030,
mw_2031,Double,8,,,Yes,No,Yes,2031,
mw_2032,Double,8,,,Yes,No,Yes,2032,
pue_avg,Double,8,,,Yes,No,Yes,PUE (Avg),
facility_sqft_sum,Double,8,,,Yes,No,Yes,Facility Sq Ft (SUM),
whitespace_sqft_sum,Double,8,,,Yes,No,Yes,Whitespace Sq Ft (SUM),
building_count,SmallInteger,2,,,Yes,No,Yes,# of Buildings,
facility_status_agg,String,32,,,Yes,No,Yes,Facility Status (Agg),dm_facility_status
cancelled,SmallInteger,2,,,Yes,No,Yes,Cancelled,
first_live_date,Date,8,,,Yes,No,Yes,First Live Date,
full_buildout_date,Date,8,,,Yes,No,Yes,Full Buildout Date,
additional_references,String,512,,,Yes,No,Yes,References,
notes,String,1024,,,Yes,No,Yes,Notes,
ingest_date,Date,8,,,Yes,No,Yes,Ingest Date,
total_cost_usd_million,Double,8,,,Yes,No,Yes,Total Project Cost (USD Millions),
land_cost_usd_million,Double,8,,,Yes,No,Yes,Land Acquisition Cost (USD Millions),
total_site_acres,Double,8,,,Yes,No,Yes,Total Site Acreage,
data_center_acres,Double,8,,,Yes,No,Yes,Data Center Footprint Acreage,
source,String,200,,,Yes,No,Yes,Data Source(s),
