campus_id,campus_name,company_clean,record_level,address,postal_code,city,market,state,state_abbr,county,country,region,latitude,longitude,planned_power_mw,uc_power_mw,commissioned_power_mw,full_capacity_mw,planned_plus_uc_mw,mw_2023,mw_2024,mw_2025,mw_2026,mw_2027,mw_2028,mw_2029,mw_2030,mw_2031,mw_2032,pue_avg,facility_sqft_sum,whitespace_sqft_sum,building_count,facility_status_agg,cancelled,first_live_date,full_buildout_date,additional_references,notes,ingest_date,sample_longitude,sample_latitude
meta|altoona|meta-altoona,Meta Altoona,Meta,Campus,100 Share Way NW,50009,Altoona,Des Moines,Iowa,,,USA,,41.664361,-93.514675,,,,,0.0,,,,,,,,,,,,,,22,Active,0,,,,,2025-11-14 14:16:08,-93.51467499999995,41.66436100000004
meta|altoona|metaaltoona,Meta Altoona,Meta,Campus,100 Share Way,50009,Altoona,Des Moines,IOWA,,,United States,,41.6642,-93.5145,41.6,0.0,300.2,341.8,41.6,,,,,,,,,,,,3656000.0,,12,Active,0,2014-12-31 00:00:00,,,,2025-11-14 14:16:08,-93.51449999999994,41.66420000000005
meta|beaverdam|metabeaverdam,Meta Beaver Dam,Meta,Campus,County Road A,53916,Beaver Dam,Madison,WISCONSIN,,,United States,,43.50482272,-88.8171023,304.0,0.0,0.0,304.0,304.0,,,,,,,,,,,,1430000.0,,4,Announced,0,,,,,2025-11-14 14:16:08,-88.81710229999999,43.50482272000005
meta|catoosa|metacatoosa,Meta Catoosa,Meta,Campus,E 11th Street,74014,Catoosa,Tulsa,OKLAHOMA,,,United States,,36.14032034,-95.73644181,152.0,0.0,0.0,152.0,152.0,,,,,,,,,,,,643000.0,,2,Announced,0,,,,,2025-11-14 14:16:08,-95.73644180999997,36.14032034000007
meta|cheyenne|metacheyenne,Meta Cheyenne,Meta,Campus,High Plains Road,82007,Cheyenne,Cheyenne,WYOMING,,,United States,,41.07680941,-104.8244734,408.0,152.0,0.0,560.0,560.0,,,,,,,,,,,,2860000.0,,5,Under Construction,0,,,,,2025-11-14 14:16:08,-104.82447339999999,41.07680941000007
meta|clonee|meta-clonee,Meta Clonee,Meta,Campus,2 Slí na gChairde,,Clonee,Dublin,,,,Ireland,,53.417587,-6.432319,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-6.43231899999995,53.417587000000026
meta|davenport|meta-davenport,Meta Davenport,Meta,Campus,Hillandale Rd & Enterprise Way,52806,Davenport,Davenport,Iowa,,,USA,,41.616411,-90.624925,,,,,0.0,,,,,,,,,,,,,,2,Unknown,0,,,,,2025-11-14 14:16:08,-90.62492499999996,41.61641100000003
meta|davenport|metadavenport,Meta Davenport,Meta,Campus,9180 Hillandale Road,52806,Davenport,Davenport,IOWA,,,United States,,41.61430018,-90.62474428,304.0,0.0,0.0,304.0,304.0,,,,,,,,,,,,2145000.0,,1,Announced,0,,,,,2025-11-14 14:16:08,-90.62474427999996,41.61430018000004
meta|dekalb|meta-dekalb,Meta DeKalb,Meta,Campus,2050 Metaverse Wy,60115,DeKalb,Chicago,Illinois,,,USA,,41.888469,-88.722625,,,,,0.0,,,,,,,,,,,,,,14,Active,0,,,,,2025-11-14 14:16:08,-88.72262499999994,41.88846900000004
meta|dekalb|metadekalb,Meta DeKalb,Meta,Campus,10766 Gurler Road,60115,DeKalb,Chicago,ILLINOIS,,,United States,,41.88988174,-88.74038875,152.0,0.0,150.0,302.0,152.0,,,,,,,,,,,,2465000.0,,6,Active,0,2021-12-31 00:00:00,,,,2025-11-14 14:16:08,-88.74038874999997,41.88988174000008
meta|eagle-mountain|meta-eagle-mountain,Meta Eagle Mountain,Meta,Campus,1275 N Community Cir,84005,Eagle Mountain,Orem,Utah,,,USA,,40.264766,-112.01511,,,,,0.0,,,,,,,,,,,,,,16,Active,0,,,,,2025-11-14 14:16:08,-112.01510999999999,40.264766000000066
meta|eaglemountain|metaeaglemountain,Meta Eagle Mountain,Meta,Campus,1499 N Community Circle,84005,Eagle Mountain,Salt Lake City,UTAH,,,United States,,40.27017936,-112.0203248,152.0,76.0,226.0,454.0,228.0,,,,,,,,,,,,5230000.0,,8,Active,0,2020-12-31 00:00:00,,,,2025-11-14 14:16:08,-112.02032479999997,40.27017936000004
meta|elpaso|metaelpaso,Meta El Paso,Meta,Campus,Stan Roberts Sr Avenue,79934,El Paso,El Paso,TEXAS,,,United States,,31.99352346,-106.3580293,600.0,0.0,0.0,600.0,600.0,,,,,,,,,,,,7000000.0,,1,Announced,0,,,,,2025-11-14 14:16:08,-106.35802929999994,31.993523460000063
meta|esbjerg|meta-esbjerg,Meta Esbjerg,Meta,Campus,Andrupvej 80,6705,Esbjerg Ø,Esbjerg,,,,Denmark,,55.50202,8.514239,,,,,0.0,,,,,,,,,,,,,,2,Land Acquisition,0,,,,,2025-11-14 14:16:08,8.514239000000032,55.50202000000007
meta|esbjerg|metaesbjerg,Meta Esbjerg,Meta,Campus,Andrupvej,6705,Esbjerg,Denmark,,,,Denmark,,55.50691807,8.50671125,150.0,0.0,0.0,150.0,150.0,,,,,,,,,,,,1750000.0,,5,Announced,0,,,,,2025-11-14 14:16:08,8.506711250000023,55.50691807000004
meta|etna|meta-new-albany,Meta New Albany,Meta,Campus,1 Community Cir,43062,Etna,Columbus,Ohio,,,USA,,40.068355,-82.750313,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-82.75031299999995,40.068355000000054
