field_name,type,length,nullable,domain,alias
OBJECTID,OID,4,No,,
Shape,Geometry,0,Yes,,
campus_id,String,128,Yes,,Campus ID
campus_name,String,128,Yes,,Campus/Project Name
company_clean,String,128,Yes,,Company (Clean)
record_level,String,16,Yes,dm_record_level,Record Level
address,String,255,Yes,,Address
postal_code,String,16,Yes,,Zip/Postal
city,String,128,Yes,,City
market,String,128,Yes,,Market
state,String,64,Yes,,State
state_abbr,String,8,Yes,,State Abbr
county,String,128,Yes,,County
country,String,64,Yes,,Country
region,String,16,Yes,,Region
latitude,Double,8,Yes,,Latitude
longitude,Double,8,Yes,,Longitude
planned_power_mw,Double,8,Yes,,Planned Power (MW)
uc_power_mw,Double,8,Yes,,Under Construction Power (MW)
commissioned_power_mw,Double,8,Yes,,Commissioned Power (MW)
full_capacity_mw,Double,8,Yes,,Full Capacity (MW)
planned_plus_uc_mw,Double,8,Yes,,Planned + UC (MW)
mw_2023,Double,8,Yes,,2023
mw_2024,Double,8,Yes,,2024
mw_2025,Double,8,Yes,,2025
mw_2026,Double,8,Yes,,2026
mw_2027,Double,8,Yes,,2027
mw_2028,Double,8,Yes,,2028
mw_2029,Double,8,Yes,,2029
mw_2030,Double,8,Yes,,2030
mw_2031,Double,8,Yes,,2031
mw_2032,Double,8,Yes,,2032
pue_avg,Double,8,Yes,,PUE (Avg)
facility_sqft_sum,Double,8,Yes,,Facility Sq Ft (SUM)
whitespace_sqft_sum,Double,8,Yes,,Whitespace Sq Ft (SUM)
building_count,SmallInteger,2,Yes,,# of Buildings
facility_status_agg,String,32,Yes,dm_facility_status,Facility Status (Agg)
cancelled,SmallInteger,2,Yes,,Cancelled
first_live_date,Date,8,Yes,,First Live Date
full_buildout_date,Date,8,Yes,,Full Buildout Date
additional_references,String,512,Yes,,References
notes,String,1024,Yes,,Notes
ingest_date,Date,8,Yes,,Ingest Date
